"No";"Civility";"First Name";"Last Name";"Email";"City";"State";"Zip code";"Date";"Campaign";"Phone";"Opt-in"
199;"Mr";"Radu";"Banks";"fbankslj@wsj.com";Birmingham;"AL";35222;5/30/2015;"Shoes";"(904) 235-3633";"Yes"
200;"Mrs";"Murielle";"Carter";"fcarterls@hao123.com";Waukesha;"WI";53186;9/19/2015;"Hoodies";"(207) 458-9196";"Yes"
201;"Mr";"Christophe";"Cunningham";"fcunninghamil@quantcast.com";Belhaven;"NC";27810;4/28/2015;"T-shirts";"(817) 765-5781";"Yes"
202;"Mrs";"France";"Dicon";"fdicon@ibm.com";Mcallen;"TX";78501;9/23/2015;"Shoes";"(716) 752-4114";"No"
203;"Mr";"Régis";"Elliott";"felliottlk@ifeng.com";Houston;"TX";77020;7/1/2015;"Shoes";"(305) 670-9628";"Yes"
204;"Mr";"Daniel";"Foster";"ffostermf@earthlink.net";Tampa;"FL";33634;11/10/2015;"Hoodies";"(212) 313-1783";"Yes"
205;"Mr";"Lionel";"Hansen";"fhansenib@netlog.com";Redmond;"WA";98052;3/28/2015;"Hoodies";"(215) 605-7570";"Yes"
206;"Mrs";"Brigitte";"Hawkins";"fhawkinsoz@keyrus.com";Yonkers;"NY";10701;8/24/2015;"Shoes";"(850) 430-1663";"Yes"
207;"Mr";"Fred";"Hughes";"fhughesqy@airfrance.com";San Francisco;"CA";94107;4/20/2015;"Shoes";"(415) 306-7897";"Yes"
208;"Mrs";"calixte";"Kelly";"fkellynv@printemps.com";Jacksonville;"NC";28540;8/23/2015;"T-shirts";"(408) 504-3552";"Yes"
209;"Mr";"Franck";"Kennedy";"fkennedy@yauchan.com";New York;"NY";10016;4/12/2014;"Shoes";"(650) 947-1215";"Yes"
210;"Mr";"Thierry";"King";"fkingis@jimdo.com";Richmond;"VA";23222;7/9/2015;"Shoes";"(818) 864-4875";"Yes"
211;"Mrs";"Florence";"Montgomery";"fmontgomery@bergerlevrault.com";Jackson;"MS";39211;7/29/2015;"Dresses";"(215) 558-8189";"Yes"
212;"Mr";"Frédéric";"Rodriguez";"frodriguez@alstom.com";Newton;"GA";31770;6/7/2015;"Dresses";"(337) 253-8384";"Yes"
213;"Mr";"Cyrille";"Ruiz";"fruiziy@cnrs.fr";Atlanta;"GA";30328;4.6.2015;"Hoodies";"(313) 533-4884";"Yes"
214;"Mrs";"Delphine";"West";"fwest4g@posterous.com";Salt Lake City;"UT";84113;8/15/2015;"Dresses";"(512) 213-8574";"No"
215;"Mr";"Virgil";"Andrews";"gandrews59@scientificamerican.com";Lubbock;"TX";79401;2/20/2015;"Dresses";"(214) 428-2285";"Yes"
216;"Mrs";"Peggy";"Brown";"gbrown@canalblog.com";Las Cruces;"NM";88001;2/21/2015;"Dresses";"(206) 697-5796";"Yes"
217;"Mr";"Nicolas";"Bryant";"gbryantlm@cnamts.fr";Southfield;"MI";48034;1/11/2015;"Hoodies";"(610) 476-3501";"Yes"
218;"Mr";"Greg";"Butler";"gbutlerq0@gmail.com";Milwaukee;"WI";53226;7/9/2015;"Shoes";"(215) 372-1718";"Yes"
219;"Mr";"Laurent";"Collins";"gcollinsrn@aphp.fr";Dayton;"OH";45402;4/28/2015;"Hoodies";"(310) 858-5079";"Yes"
220;"Mr";"Gerald";"Denne";"gdenne@bred.com";Cambridge;"MA";02141;1/6/2015;"Shoes";"(707) 653-8214";"Yes"
221;"Mr";"Jérôme";"Franklin";"gfranklinox@abc.net.au";San Carlos;"CA";94070;3/22/2015;"Hoodies";"(407) 808-9439";"Yes"
222;"Mrs";"Lise";"Green";"ggreenpe@comcast.net";Asheville;"NC";28806;10/16/2015;"T-shirts";"(760) 971-4322";"No"
223;"Mrs";"Gloria";"Hamilton";"ghamiltongw@creativecommons.org";Syracuse;"NY";13205;8/1/2015;"T-shirts";"(508) 837-9230";"Yes"
224;"Mr";"Pierre-Marie";"Henry";"ghenrye2@vimeo.com";Grand Rapids;"MI";49503;11/22/2015;"Hoodies";"(936) 264-9294";"Yes"
225;"Mr";"Gregory";"Lebre";"glebre@cxp.fr";Beaumont;"TX";77701;7/5/2015;"Shoes";"(414) 214-8697";"Yes"
226;"Mrs";"Gloria";"Littiery";"glittiery@ubisoft.com";New England;"ND";58647;6/14/2015;"Shoes";"(626) 636-4117";"Yes"
227;"Mr";"Antony";"Mitchell";"gmitchellgc@ihg.com";Encinitas;"CA";92024;7/7/2015;"Shoes";"(914) 300-9193";"Yes"
228;"Mr";"Franck";"Olson";"golsonpj@airfrance.com";Philadelphia;"PA";19103;9/15/2015;"T-shirts";"(214) 289-1973";"Yes"
229;"Mr";"Rodolphe";"Parker";"gparkereg@businessweek.com";Appleton;"WI";54913;5/12/2014;"Shoes";"(228) 235-5615";"Yes"
230;"Mr";"Olivier";"Ruiz";"gruizpi@usatoday.com";North Dade;"FL";33180;6/23/2015;"Hoodies";"(305) 604-8981";"Yes"
231;"Mrs";"Laurence";"Sullivan";"gsullivan5d@airfrance.com";New York;"NY";10029;8/24/2015;"Shoes";"(212) 304-9225";"Yes"
232;"Mr";"Christian";"Wells";"gwellsbm@yahoo.com";Elmsford;"NY";10523;1/20/2015;"Hoodies";"(201) 474-4924";"Yes"
233;"Mr";"Gabriel";"West";"gwestll@sanofi.com";Oakland;"CA";94612;6/28/2015;"Hoodies";"(734) 928-5182";"Yes"
234;"Mr";"Georges";"White";"gwhiteqx@moonfruit.com";Cambridge;"MA";02141;10/5/2015;"Shoes";"(631) 258-6558";"Yes"
235;"Mr";"Robert";"Butler";"hbutler95@unc.edu";Phoenix;"AZ";85039;3/14/2015;"T-shirts";"(330) 791-8557";"Yes"
236;"Mr";"Harold";"Cox";"hcoxbp@saintgobain.com";Washington;"DC";20005;4/30/2015;"T-shirts";"(203) 506-4706";"Yes"
237;"Mr";"Harry";"Franklin";"hfranklinri@airfrance.com";Reno;"NV";89503;5/28/2015;"Shoes";"(703) 322-4041";"Yes"
238;"Mr";"Pascal";"Freeman";"hfreemanpf@narod.ru";Sunrise;"FL";33323;12/17/2014;"Hoodies";"(978) 626-2978";"Yes"
239;"Mr";"Yacine";"Fuller";"hfuller1e@laredoute.fr";Stevens Village;"AK";99774;2/19/2015;"Dresses";"(419) 693-1334";"No"
240;"Mr";"Gaël";"Jackson";"hjacksoncg@accuweather.com";Medina;"NY";14103;2/26/2015;"Dresses";"(253) 660-7821";"Yes"
241;"Mrs";"Cécile";"Martin";"hmartinn@bioplan.com";Smyrna;"GA";30080;12/8/2015;"Dresses";"(916) 741-7884";"Yes"
242;"Mr";"Henry";"Morales";"hmorales@sogessur.fr";Walterboro;"SC";29488;5/19/2015;"T-shirts";"(307) 342-7795";"Yes"
243;"Mr";"Marc";"Owens";"howenscq@wordpress.org";Ina;"IL";62846;12/4/2015;"Hoodies";"(207) 627-7565";"Yes"
244;"Mr";"Harold";"Palmer";"hpalmerbn@gmail.com";Los Angeles;"CA";90017;10/30/2015;"Hoodies";"(215) 491-5633";"Yes"
245;"Mrs";"Hélène";"Palmer";"hpalmerq7@liveinternet.ru";Southfield;"MI";48075;3/22/2015;"Shoes";"(813) 769-2939";"Yes"
246;"Mrs";"Nina";"Peterson";"hpeterson8b@lcl.fr";Bakersfield;"CA";93301;12/15/2014;"Shoes";"(619) 608-1763";"Yes"
247;"Mr";"Henry";"Rodriguez";"hrodriguez@sncf.com";Wausau;"WI";54401;6/12/2014;"Shoes";"(979) 718-8968";"Yes"
248;"Mr";"Lou";"Russell";"hrussell5m@airfrance.com";Asheville;"NC";28801;11/10/2015;"Shoes";"(847) 233-3075";"No"
249;"Mr";"Guillaume";"Cox";"icoxcn@blinklist.com";Hanover;"VA";23069;2/12/2014;"Dresses";"(609) 228-5265";"Yes"
250;"Mr";"Maxime";"Dixon";"idixonk7@merriam-webster.com";Gainesville;"FL";32607;6/14/2015;"Dresses";"(908) 722-7128";"Yes"
251;"Mrs";"Irene";"Martinez";"imartinezra@gmail.com";Mulvane;"KS";67110;3/5/2015;"Hoodies";"(718) 560-9537";"Yes"
252;"Mr";"Franck";"Robertson";"irobertson2u@issuu.com";Clearwater;"FL";34621;6/23/2015;"Hoodies";"(314) 787-1588";"Yes"
253;"Mrs";"Ingrid";"Stephens";"istephens@airbus.com";Gardena;"CA";90247;1/14/2015;"Dresses";"(209) 317-1801";"Yes"
255;"Mrs";"Jeanne";"Alexander";"jalexander44@gmail.com";Burr Ridge;"IL";61257;11/22/2015;"Shoes";"(317) 578-2453";"Yes"
256;"Mr";"Jason";"Arisson";"jarisson@bdf.fr";Drummond;"WI";54832;4/1/2015;"Shoes";"(206) 540-6076";"Yes"
257;"Mr";"Jerry";"Arnold";"jarnold@oracle.com";Vernon Hills;"IL";60061;10/18/2015;"T-shirts";"(336) 822-7652";"Yes"
258;"Mr";"Patrick";"Arnold";"jarnoldav@gmail.com";Gatlinburg;"TN";37738;11/3/2015;"Shoes";"(785) 629-8542";"Yes"
259;"Mr";"Fabrice";"Austin";"jaustinni@blogspot.com";New York;"NY";10007;1/15/2015;"Dresses";"(407) 471-6908";"Yes"
260;"Mrs";"Lise";"Berry";"jberrycc@nhindustries.com";Memphis;"TN";38115;6/8/2015;"Shoes";"(612) 508-2655";"Yes"
261;"Mr";"Emmanuel";"Brooks";"jbrooksbs@godaddy.com";Munford;"TN";38058;12/9/2015;"Hoodies";"(803) 352-5387";"Yes"
262;"Mr";"Jeremie";"Butler";"jbutlerom@EFA.org";Burr Ridge;"IL";61257;3/12/2014;"Hoodies";"(707) 300-1771";"No"
263;"Mr";"Christophe";"Carroll";"jcarrolleu@zimbio.com";Jackson;"MS";39201;1/15/2015;"Hoodies";"(847) 222-1734";"Yes"
264;"Mr";"Jean";"Charpentier";"jcharpentier@irs.fr";Gulfport;"MS";39503;12/25/2014;"Shoes";"(949) 867-4077";"Yes"
265;"Mrs";"Cécile";"Clark";"jclarkly@dagondesign.com";Gainesville;"FL";32601;3/22/2015;"Shoes";"(303) 404-2210";"Yes"
266;"Mr";"Damien";"Collins";"jcollinsf6@tripadvisor.com";Pine Bluff;"AR";71601;10/23/2015;"Shoes";"(203) 801-6193";"Yes"
267;"Mrs";"Hélène";"Cruz";"jcruzia@gmail.com.au";Campton;"KY";41301;3/18/2015;"Shoes";"(425) 986-7573";"Yes"
268;"Mr";"Olivier";"Cruz";"jcruzq1@youtu.be";Port Isabel;"TX";78578;5/30/2015;"Shoes";"(440) 989-5826";"Yes"
269;"Mr";"Olivier";"Davis";"jdavisp4@vinaora.com";Birmingham;"AL";35203;10/10/2015;"Shoes";"(603) 315-6839";"Yes"
270;"Mr";"Denis";"Diaz";"jdiazm7@pagesperso-orange.fr";Hawthorne;"CA";90250;11/13/2015;"Dresses";"(321) 518-5938";"Yes"
271;"Mr";"Sébastien";"Dunn";"jdunn1p@accorhotels.com";Saint Louis;"MO";63102;7/8/2015;"Dresses";"(212) 792-8658";"Yes"
272;"Mr";"Vincent";"Elliott";"jelliotti0@fema.gov";Houston;"TX";77099;8/27/2015;"Dresses";"(714) 584-2237";"Yes"
273;"Mrs";"Julia";"Farid";"jfarid@bnpp.com";Vineyard Haven;"MA";02568;3/7/2015;"Shoes";"(248) 913-4677";"Yes"
274;"Mrs";"Judith";"Flores";"jfloreslx@tarkett.com";Helena;"MT";59601;3/5/2015;"Shoes";"(317) 825-4724";"Yes"
275;"Mr";"Gabriel";"Franklin";"jfranklinme@ezinearticles.com";New York;"NY";10003;6/30/2015;"Shoes";"(940) 276-7922";"No"
276;"Mr";"Damien";"Fuller";"jfuller5e@comcast.net";Henning;"MN";56551;7/15/2015;"Shoes";"(203) 721-3388";"Yes"
277;"Mrs";"Judith";"Graham";"jgraham4h@photobucket.com";East Hartford;"CT";06108;6/8/2015;"Dresses";"(410) 739-9277";"Yes"
278;"Mrs";"Pascale";"Grant";"jgrantie@mac.com";Miami;"FL";33169;8/5/2015;"Dresses";"(504) 463-4384";"Yes"
279;"Mr";"Jalil";"Griffin";"jgriffin2q@bnpp.com";Groesbeck;"TX";76642;10/9/2015;"T-shirts";"(804) 550-5097";"Yes"
280;"Mr";"Jean";"Griffin";"jgriffin8w@gmail.com";San Antonio;"TX";78231;10/6/2015;"Shoes";"(215) 979-8776";"Yes"
281;"Mrs";"Jeannette";"Gutierrez";"jgutierrezl5@ccr.fr";Piedmont;"AL";36272;10/25/2015;"Shoes";"(952) 651-7597";"Yes"
282;"Mr";"Hanh";"Hansen";"jhansen6d@wired.com";Pittsburgh;"PA";15219;4/15/2015;"Dresses";"(305) 936-8226";"No"
283;"Mr";"Jerôme";"Harris";"jharrisb6@galderma.com";Knoxville;"TN";37917;3/21/2015;"Dresses";"(414) 263-5287";"Yes"
284;"Mrs";"Laurence";"Harrison";"lharrison@habitat.com";Buffalo;"NY";14214;11/24/2014;"Shoes";"(732) 941-2621";"Yes"
285;"Mrs";"Valérie";"Hart";"jharth2@ihg.com";Minneapolis;"MN";55415;12/31/2014;"Dresses";"(701) 898-2154";"Yes"
286;"Mrs";"Marthe";"Hernandez";"jhernandez@airfrance.com";Eagleville;"PA";19403;4.6.2015;"Hoodies";"(775) 638-9963";"Yes"
287;"Mr";"Nicolas";"Hill";"jhillk5@cmu.edu";San Antonio;"TX";78218;5/14/2015;"Hoodies";"(602) 954-5141";"Yes"
288;"Mr";"Jean";"Hovelle";"jhovelle@galfa.com";Juneau;"WI";53039;5/7/2015;"T-shirts";"(615) 390-2251";"Yes"
289;"Mrs";"Aline";"Hudson";"jhudson4l@gmail.com";Tampa;"FL";33602;2/26/2015;"Shoes";"(410) 351-1863";"Yes"
290;"Mr";"Jerome";"HUGUES";"jhughes@thales.com";Milwaukee;"WI";53213;9/4/2015;"Shoes";"(212) 870-1286";"Yes"
291;"Mr";"Ali";"Hughes";"jhughes1c@meetup.com";Dallas;"TX";75204;1/8/2015;"Shoes";"(806) 703-1435";"Yes"
292;"Mrs";"Roseline";"Hunt";"jhuntmk@lmg.fr";Rancho Cordova;"CA";95670;3/16/2015;"Shoes";"(323) 765-2528";"Yes"
293;"Mr";"Serge";"Kelley";"jkelleyeb@drupal.org";Garden City;"NY";11530;6/25/2015;"Dresses";"(619) 509-5282";"Yes"
294;"Mr";"Bertrand";"Kelly";"jkelly8q@archive.org";Irvine;"CA";92614;5/16/2015;"Shoes";"(770) 732-1194";"Yes"
295;"Mr";"Jonathan";"Kim";"jkim@sncf.com";Burr Ridge;"IL";60527;3/7/2015;"T-shirts";"(508) 769-5250";"Yes"
296;"Mrs";"Janice";"Lewis";"jlewise9@paypal.com";Woburn;"MA";01801;3/7/2015;"Hoodies";"(269) 756-7222";"No"
297;"Mrs";"Laurence";"Martinez";"jmartinez7p@microsoft.com";Tulsa;"OK";74131;2/26/2015;"Hoodies";"(973) 714-1721";"Yes"
298;"Mrs";"Laurine";"Martinez";"jmartinezb4@cnrs.fr";Lake Forest;"IL";60045;2/9/2015;"Shoes";"(337) 740-9323";"No"
299;"Mrs";"Jennifer";"Martin";"jmartinf3@raje.com";Lynchburg;"VA";24504;11/6/2015;"Shoes";"(717) 491-5643";"Yes"
300;"Mr";"Joe";"Mason";"jmasoni@disneyland.com";Oklahoma City;"OK";73128;9/24/2015;"Dresses";"(314) 359-9566";"Yes"
301;"Mrs";"Marie-Christine";"Mccoy";"jmccoykh@google.ru";San Rafael;"CA";94909;4/4/2016;"Shoes";"(817) 213-8851";"Yes"
302;"Mr";"Eric";"Mitchell";"jmitchell6q@ifeng.com";Grand Rapids;"MI";49503;4/30/2015;"T-shirts";"(813) 932-8715";"No"
303;"Mrs";"Victoria";"Mitchell";"jmitchellh4@sfr.com";Port St Joe;"FL";32456;2/25/2015;"Dresses";"(770) 679-4752";"Yes"
304;"Mr";"Thierry";"Moore";"jmooreo@bluejam.com";Gosport;"IN";47433;6/8/2015;"T-shirts";"(760) 938-6069";"Yes"
305;"Mr";"Gilles";"Moreno";"jmorenoh1@bnpp.com";Dodgeville;"WI";53533;7/25/2015;"Dresses";"(517) 906-1108";"Yes"
306;"Mrs";"Jacqueline";"Murphy";"jmurphy23@gmail.com";Georgetown;"MS";39078;1/29/2015;"Dresses";"(602) 390-4944";"Yes"
307;"Mr";"Christian";"Nelson";"jnelson81@jugem.jp";San Francisco;"CA";94107;10/5/2015;"Shoes";"(207) 295-7569";"Yes"
308;"Mr";"Jo";"Nicole";"jnichols2x@manutan.com";Beaumont;"TX";77701;2/1/2015;"Shoes";"(301) 696-6420";"Yes"
309;"Mrs";"Nadine";"Parker";"jparkernp@gmail.com";Atlantic;"IA";50022;10/10/2015;"Dresses";"(717) 809-3119";"No"
310;"Mr";"Joe";"Perkin";"jperkin@efl.fr";Lafayette;"IN";47905;9/9/2015;"T-shirts";"(972) 419-7946";"Yes"
311;"Mrs";"Valérie";"Perry";"jperry7r@sncf.fr";Hartford;"CT";06103;5/1/2015;"Hoodies";"(406) 318-1515";"Yes"
312;"Mr";"Johnny";"peters";"jpeters6@hp.com";San Jose;"CA";95134;8/24/2015;"Shoes";"(973) 767-3008";"Yes"
313;"Mr";"Ludovic";"Peterschmigt";"jpeterschmidt@airfrance.com";Mcminnville;"OR";97128;3/16/2015;"Shoes";"(248) 980-6904";"Yes"
314;"Mrs";"Joëlle";"Ramirez";"jramirez40@sodexo.com";Maybrook;"NY";12543;6/28/2015;"Dresses";"(216) 923-3715";"No"
315;"Mrs";"Marie";"Ramirez";"jramirezfa@nasa.gov";Salt Lake City;"UT";84104;6/7/2015;"Shoes";"(325) 631-1560";"Yes"
316;"Mr";"Joseph";"Ramos";"jramosnx@rhodia.com";Pittsburgh;"PA";15220;2/25/2015;"T-shirts";"(817) 526-4408";"Yes"
317;"Mrs";"Joëlle";"Reid";"jreidft@bnpp.com";New York;"NY";10013;8/29/2015;"Shoes";"(718) 201-3751";"Yes"
318;"Mr";"Henri";"Richards";"jrichards24@jiathis.com";Birdsboro;"PA";19508;4/11/2015;"Shoes";"(401) 893-4882";"Yes"
319;"Mr";"Eric";"Riley";"jrileypw@free.fr";Omaha;"NE";68102;7/4/2015;"Hoodies";"(717) 885-9118";"Yes"
320;"Mr";"Olivier";"Robinson";"jrobinsoncp@washington.edu";Saint Louis;"MO";63108;9/27/2015;"Shoes";"(401) 948-4982";"Yes"
321;"Mr";"Jimmy";"Romero";"jromero@saintgobain.com";Tampa;"FL";33602;6/16/2015;"Dresses";"(305) 622-4739";"Yes"
322;"Mr";"Nicolas";"Romero";"jromero9n@bnpp.com";Sudbury;"MA";01776;1/12/2014;"Hoodies";"(201) 832-4168";"Yes"
323;"Mr";"Jean";"Ruiz";"jruiz74@mac.com";Vicksburg;"LA";39180;12/25/2014;"Shoes";"(210) 856-4979";"Yes"
324;"Mr";"Jacques";"Russell";"jrussell1o@gmail.com";Matthews;"NC";28105;12/26/2014;"Shoes";"(718) 478-8504";"Yes"
325;"Mr";"pierre";"Simons";"jsimons@msf.org";Hickory Hills;"IL";60457;12/17/2015;"Hoodies";"(909) 993-3242";"Yes"
326;"Mr";"Joan";"Snyder";"jsnyderaw@addthis.com";Suitland;"MD";20746;7/1/2015;"Shoes";"(216) 230-4892";"Yes"
327;"Mr";"Công-Thach ";"Snyder";"jsnydernb@1688.com";Boone;"IA";50036;12/17/2014;"Shoes";"(212) 304-4515";"Yes"
328;"Mr";"Jimmy";"Stewart";"jstewartck@gmail.com";Stamford;"CT";06905;1/28/2015;"Shoes";"(804) 762-9576";"Yes"
329;"Mr";"Florent";"Stone";"jstonepb@npr.org";South Boston;"MA";02127;6/2/2015;"T-shirts";"(706) 221-4243";"Yes"
330;"Mrs";"GLADYS";"Sullivan";"jsullivan4r@socgen.com";Dallas;"TX";75247;1/6/2015;"Dresses";"(337) 515-1438";"Yes"
331;"Mr";"Georges";"Tucker";"jtuckerig@moonfruit.com";West Warwick;"RI";02893;12/27/2014;"Dresses";"(973) 544-2677";"No"
332;"Mrs";"Flore";"Turner";"jturnerdd@laposte.com";New York;"NY";10004;11/19/2015;"Dresses";"(607) 407-3716";"No"
333;"Mr";"Philippe";"Wagner";"jwagner9y@buzzfeed.com";Louisville;"KY";40244;8/13/2015;"T-shirts";"(973) 412-2995";"Yes"
334;"Mr";"Pascal";"Ward";"jward85@lycos.com";Milton Mills;"ME";03852;9/7/2015;"T-shirts";"(208) 252-4552";"Yes"
336;"Mrs";"Fabienne";"Weaver";"jweaverew@arizona.edu";Southern Pines;"NC";28387;8/24/2015;"Shoes";"(508) 942-4186";"Yes"
337;"Mr";"Nicolas";"Young";"jyounggy@fc2.com";Clayton;"WI";54001;12/29/2014;"Hoodies";"(248) 357-8718";"No"
338;"Mr";"Stéphane";"Baker";"kbakere8@hubpages.com";Helena;"MT";59601;4/4/2016;"Hoodies";"(920) 353-6377";"Yes"
339;"Mrs";"Marion";"Brown";"kbrown3k@oakley.com";Canton;"MI";48187;4/19/2015;"Shoes";"(410) 665-4903";"Yes"
340;"Mrs";"Kathy";"Cole";"kcolepz@unesco.org";Leesburg;"VA";22075;8/1/2015;"Shoes";"(719) 669-1664";"Yes"
341;"Mrs";"Raphaele";"Cooper";"kcoopera7@minefi.org";Atlanta;"GA";30305;12/14/2014;"Hoodies";"(419) 588-8719";"Yes"
342;"Mr";"Kevin";"Davis";"kdavisqo@photobucket.com";Winston Salem;"NC";27101;2/10/2015;"Shoes";"(301) 998-9644";"Yes"
343;"Mrs";"Kathy";"Ducan";"kducan@Accor.com";Satanta;"KS";67870;11/22/2015;"Dresses";"(508) 855-9887";"Yes"
344;"Mr";"Maurice";"Fernandez";"kfernandez2t@ask.com";Bridgeport;"NY";13030;9/25/2015;"Hoodies";"(703) 483-1970";"Yes"
345;"Mrs";"Pascale";"Garcia";"kgarciam@creditagricole.fr";Kalamazoo;"MI";49007;11/23/2014;"Shoes";"(410) 678-2473";"Yes"
346;"Mrs";"Caroline";"George";"kgeorge18@boston.com";Oklahoma City;"OK";73128;5/31/2015;"Shoes";"(512) 223-4791";"Yes"
347;"Mr";"Alain";"Greene";"kgreene7h@bnpp.com";Baltimore;"MD";21202;6/12/2014;"T-shirts";"(623) 461-8551";"Yes"
348;"Mr";"François";"Hunter";"khunterjc@loc.gov";New Orleans;"LA";70129;5/27/2015;"T-shirts";"(419) 571-5920";"Yes"
350;"Mr";"Alexandre";"Jacobs";"kjacobsdz@airfrance.com";Seattle;"WA";98109;4/4/2016;"Shoes";"(513) 617-2362";"No"
352;"Mr";"Keith";"Larson";"klarson@orange.com";Oxford;"MI";48371;3/30/2015;"Dresses";"(847) 353-2156";"No"
353;"Mr";"Autodistribution";"Lawrence";"klawrencehe@gmail.com";Lakeland;"FL";33813;11/19/2015;"Hoodies";"(718) 232-2337";"Yes"
354;"Mrs";"Kathleen";"Lawson";"klawson6e@istockphoto.com";Castle Rock;"AZ";86403;10/26/2015;"Hoodies";"(407) 446-4358";"Yes"
355;"Mr";"Pascal";"Lawson";"klawsonhz@cnet.com";Dallas;"TX";75234;5/18/2015;"Shoes";"(310) 820-2117";"Yes"
356;"Mr";"Charles";"Nguyen";"knguyen3a@bbb.org";Carmel;"IN";46032;8/10/2015;"Shoes";"(813) 797-4816";"Yes"
357;"Mr";"Clément ";"Nguyen";"knguyenfv@privacy.gov.au";Nashville;"TN";37209;2/9/2015;"Shoes";"(915) 452-1290";"Yes"
358;"Mr";"Eric";"Perez";"kperez1m@dga.fr";Ypsilanti;"MI";48198;12/10/2015;"Shoes";"(619) 603-5125";"Yes"
359;"Mr";"Didier";"Peters";"kpetersek@businesswire.com";Pierson;"FL";32080;8/3/2015;"Hoodies";"(301) 841-5012";"Yes"
360;"Mr";"Philippe";"Richards";"krichardsat@biglobe.ne.jp";Jefferson City;"MO";65101;8/4/2015;"Dresses";"(714) 523-6653";"Yes"
361;"Mrs";"Kimberly";"Romero";"kromeroqr@elegantthemes.com";Cambridge;"MA";02141;2/26/2015;"Shoes";"(314) 732-9131";"Yes"
362;"Mr";"Olivier";"Schmidt";"kschmidt8l@phoca.cz";South River;"NJ";08882;5/16/2015;"Shoes";"(512) 233-1831";"Yes"
363;"Mr";"Kathy";"Sims";"ksims37@gmail.com";Wilmington;"DE";19801;4/30/2015;"Shoes";"(336) 670-2640";"Yes"
364;"Mr";"Hanh";"Sims";"ksimsl1@mysql.com";Waymart;"PA";18472;2/18/2015;"Shoes";"(631) 443-4710";"Yes"
365;"Mr";"Stéphane";"Taylor";"ktaylor8p@nbcnews.com";Gary;"IN";46403;5/22/2015;"Shoes";"(201) 825-2514";"Yes"
366;"Mrs";"Laurence";"Walker";"kwalkeret@minagri.fr";Prentice;"WI";54556;5/16/2015;"T-shirts";"(901) 412-4381";"Yes"
367;"Mrs";"Hélène";"West";"kwestmv@airfrance.com";Chicago;"IL";60606;8/26/2015;"Dresses";"(404) 505-4445";"Yes"
368;"Mr";"Thierry";"Woods";"kwoods8a@yale.edu";Gum Tree;"VA";23005;12/28/2014;"Dresses";"(650) 473-1262";"Yes"
370;"Mrs";"Lisa";"Alexander";"lalexanderei@airfrance.Com";San Luis Obispo;"CA";93401;11/3/2015;"T-shirts";"(480) 726-1280";"Yes"
371;"Mr";"Julien";"Bell";"lbella6@gmail.com";Philadelphia;"PA";19146;12/24/2014;"Shoes";"(718) 976-8610";"Yes"
372;"Mr";"Louis";"Bryant";"lbryant9g@hao123.com";Sacramento;"CA";95817;8/8/2015;"Hoodies";"(770) 844-3447";"No"
373;"Mr";"Albert";"Burke";"lburke8j@utexas.edu";Wilmington;"NC";28412;7/24/2015;"Dresses";"(507) 210-3510";"Yes"
374;"Mr";"Christophe";"Campbell";"lcampbell2l@airfrance.com";Fredericksburg;"VA";22401;6/19/2015;"Dresses";"(203) 461-1949";"Yes"
375;"Mr";"Xavier";"Carpenter";"lcarpenterif@xrea.com";Pikesville;"MD";21208;1/12/2014;"Shoes";"(260) 273-3725";"Yes"
376;"Mr";"Laurent";"Cocus";"lcocus@gmx.com";Gaines;"MI";48436;4.6.2015;"Hoodies";"(601) 927-8287";"Yes"
377;"Mr";"Lois";"Cooper";"lcooperbt@airfrance.com";Douglas;"GA";31533;12/1/2015;"Dresses";"(586) 970-7380";"Yes"
378;"Mrs";"Laura";"Crawford";"lcrawfordrp@uiuc.edu";Odessa;"TX";79763;10/1/2015;"Shoes";"(719) 853-3600";"Yes"
379;"Mr";"Stéphane";"Levreaud";"levreauds@afd.fr";Carmel;"IN";46032;9/4/2015;"Shoes";"(212) 745-8484";"Yes"
380;"Mr";"Louis";"Fernandez";"lfernandezk3@npr.org";Bay St. Louis;"MS";39529;11/6/2015;"Shoes";"(510) 686-3407";"Yes"
381;"Mr";"Lars";"Franklin";"lfranklin@axa.com";Pittsburgh;"PA";15205;9/16/2015;"Dresses";"(773) 704-9903";"Yes"
382;"Mr";"Rachid";"Freeman";"lfreemanfz@census.gov";San Diego;"CA";92103;1/28/2015;"Hoodies";"(570) 218-4831";"Yes"
383;"Mr";"Wissam";"Graham";"lgrahamlb@csmonitor.com";Appling;"GA";30802;8/2/2015;"Shoes";"(530) 986-9272";"Yes"
384;"Mr";"Wissam";"Lane";"llanecr@dropbox.com";Pittsburgh;"PA";15201;11/10/2015;"Shoes";"(845) 823-8877";"Yes"
385;"Mrs";"Laurence";"Owens";"lowens@firminich.com";La Mesa;"CA";92041;2/2/2015;"Shoes";"(216) 600-6111";"No"
386;"Mr";"Lois";"Perkins";"lperkins2w@has.fr.org";Cando;"ND";58324;9/28/2015;"Shoes";"(973) 852-2736";"Yes"
387;"Mr";"Romaric";"Phillips";"lphillips6h@bravesites.com";Wright;"WY";82732;7/15/2015;"Shoes";"(907) 435-9166";"Yes"
388;"Mrs";"Louise";"Redon";"lredon@bnpp.com";Eagleville;"PA";19403;8/15/2015;"Shoes";"(215) 268-1275";"Yes"
